Date,returns
2018-01-02,0.0
2018-01-03,0.011835113122681706
2018-01-04,0.0061100288207363235
2018-01-05,0.012283060347837174
2018-01-08,0.004155122544685226
2018-01-09,0.0005403177250665376
2018-01-10,-0.0020263874880723713
2018-01-11,0.005539471504818002
2018-01-12,0.007253802867630103
2018-01-16,-0.0038385976415768503
2018-01-17,0.012072554123061484
2018-01-18,0.004860257472698634
2018-01-19,0.0039155969965887815
2018-01-22,0.009648428278086282
2018-01-23,0.005285911319054537
2018-01-24,-0.005194371246037662
2018-01-25,0.000637946798510599
2018-01-26,0.021832181432870607
2018-01-29,-0.006237945927900294
2018-01-30,-0.01157983837208824
2018-01-31,0.005753729941575644
2018-02-01,-0.000973426760888844
2018-02-02,-0.021107196082795345
2018-02-05,-0.04506644403183244
2018-02-06,0.028241204049117005
2018-02-07,-0.0029021866868538565
2018-02-08,-0.04378122130754455
2018-02-09,0.021385576140681414
2018-02-12,0.013428619498449599
2018-02-13,0.006964361372284336
2018-02-14,0.018895154496021003
2018-02-15,0.011323533514910993
2018-02-16,0.0004113134207372947
2018-02-20,-0.005697080460591641
2018-02-21,-0.0076675261884653735
2018-02-22,0.0024232424203762893
2018-02-23,0.016426097670719484
2018-02-26,0.010666552461307162
2018-02-27,-0.01191035554721087
2018-02-28,-0.009770581030846008
2018-03-01,-0.01806414286268902
2018-03-02,0.005647193790080314
2018-03-05,0.010798570895884652
2018-03-06,-0.0001300484204997082
2018-03-07,0.004039518402835298
2018-03-08,0.001633923943065274
2018-03-09,0.01862594426813426
2018-03-12,-0.0010116971325632932
2018-03-13,-0.004994073016866642
2018-03-14,-0.005614368159836915
2018-03-15,0.0002103050494856467
2018-03-16,0.00022869220506084042
2018-03-19,-0.009617889176240754
2018-03-20,0.011459500912585296
2018-03-21,-0.008853143397578683
2018-03-22,-0.040630273074602014
2018-03-23,-0.022710055878084084
2018-03-26,0.03556572705611679
2018-03-27,-0.030591415285793497
2018-03-28,-0.00495547843680093
2018-03-29,0.017084746854986323
2018-04-02,-0.021682338513493937
2018-04-03,0.01056670745951362
2018-04-04,0.01760880577621068
2018-04-05,0.009713855272057554
2018-04-06,-0.02582908591224605
2018-04-09,0.0068472344279389375
2018-04-10,0.018862319151290927
2018-04-11,-0.010277917545975311
2018-04-12,0.015055650117810555
2018-04-13,-0.007573552848961199
2018-04-16,0.009137192047264245
2018-04-17,0.018866881862731236
2018-04-18,0.0015713987603197639
2018-04-19,-0.0002574604350976269
2018-04-20,-0.00983429579410734
2018-04-23,-0.002249304626465897
2018-04-24,-0.014944945050878058
2018-04-25,-5.818391948611817e-05
2018-04-26,0.01641045790805138
2018-04-27,0.0009857130029222825
2018-04-30,-0.00045951629846283884
2018-05-01,0.006678491349529289
2018-05-02,-0.0007749890404052737
2018-05-03,0.0008320384087699771
2018-05-04,0.010033485344136131
2018-05-07,0.0050652205067650115
2018-05-08,0.004220529334087393
2018-05-09,0.010717584926545138
2018-05-10,0.01001463556804006
2018-05-11,0.002270095282436298
2018-05-14,-0.0006129669973092099
2018-05-15,-0.011252766333873896
2018-05-16,0.00484067585488186
2018-05-17,-0.0016101631616832904
2018-05-18,-0.00018797071461239945
2018-05-21,0.005607612273067874
2018-05-22,-0.0023130102705973894
2018-05-23,0.005961197160240275
2018-05-24,-0.00350762818337275
2018-05-25,-0.00460619602556327
2018-05-29,-0.011022966179158865
2018-05-30,0.015576804349691418
2018-05-31,-0.006610729636770771
2018-06-01,0.010151734381244119
2018-06-04,0.009243079793572077
2018-06-05,0.002684439615684749
2018-06-06,0.007147114977379394
2018-06-07,-0.007145638679769421
2018-06-08,0.0038688761807355258
2018-06-11,0.0016487066203443536
2018-06-12,0.005133652709408621
2018-06-13,-0.0005876096005736094
2018-06-14,0.005905188204042614
2018-06-15,-0.0039237071607069055
2018-06-18,0.005154272304168575
2018-06-19,-0.0055982983712958255
2018-06-20,0.0037347511228771487
2018-06-21,-0.007886272472240045
2018-06-22,-0.0037087681771100995
2018-06-25,-0.021812333888127863
